idStazione;Stazione;Provincia;Quota;UTM_Nord;UTM_EST;Fiume;Bacino;IdDV;IdNeve;idTerm;IdVV;IdPluv;IdIdro;IdRG;IdUR
3;SONDALO Le Prese;SO;950;5133847,54000000;604242,65000000;Adda;ADDA SOPRALACUALE;;;;;9;3;;
6;BORMIO Ponte sul  Frodolfo;SO;1250;5146642,08000000;605400,94000000;Deriv. Frodolfo;ADDA SOPRALACUALE;;;13;;11;6;;
8;SPRIANA Ponte sul Mallero;SO;645;5118488,41000000;566593,22000000;Mallero;ADDA SOPRALACUALE;;;;;34;15;;
9;SONDRIO Ponte Eifell;SO;300;5113128,47000000;566703,13000000;Mallero;ADDA SOPRALACUALE;;;;;;16;;
12;VALDIDENTRO Arnoga;SO;1880;5145777,33000000;595373,01000000;;;;;28;;19;;;
13;VALDIDENTRO Cancano ;SO;1948;5152051,06000000;601015,84000000;;;;205;29;;20;;;
14;VALFURVA S. Caterina ;SO;1730;5140927,23000000;614872,45000000;;;;203;30;;21;;;
23;CHIESA IN VALMALENCO S.Giuseppe;SO;1428;5128414,92000000;563900,08000000;;;;;;;35;;;
27;CHIESA IN VALMALENCO Alpe dell' Oro;SO;2040;5130048,47000000;558743,52000000;;;;66;1346;;40;;;
28;CHIESA IN VALMALENCO Alpe Entova;SO;1905;5130098,33000000;564213,42000000;;;;12753;53;;41;;;12754
29;CHIESA IN VALMALENCO Funivia Bernina;SO;2014;5126716,12000000;566527,47000000;;;;67;54;;42;;;
30;LANZADA Campo Moro;SO;1970;5128438,15000000;571423,27000000;;;;68;;;43;;;
33;LANZADA Ganda;SO;988;5124452,10000000;568154,98000000;Lanterna;ADDA SOPRALACUALE;;;;;46;64;;
52;GROSIO Diga Fusino;SO;1220;5131141,71000000;595908,84000000;;;;101;99;;100;;;
57;BRANZI Caserma Carabinieri;BG;830;5094534,08000000;558779,21000000;;;;114;112;;113;;;
58;CARONA Lago Fregabolgia;BG;1955;5097125,97000000;566799,16000000;;;17470;117;115;17468;116;;17464;17465
60;VILLA DI CHIAVENNA ;SO;665;5131062,85000000;539410,90000000;Mera;ADDA SOPRALACUALE;17540;;121;17537;122;123;;17536
61;VALDISOTTO Arginone;SO;1050;5137647,44000000;604113,69000000;;;;139;133;;135;;;
78;TIRANO Monte Masuccio;SO;1750;5121837,26000000;590452,27000000;;;;1368;1367;;1366;;;
92;VALFURVA Confinale;SO;2300;5144310,93000000;612927,69000000;;;;;;;;19881;;
100;MILANO Lambrate;MI;120;5038171,16000000;520120,08000000;;;14390;;2001;14391;2006;;2008;2002
102;SAN COLOMBANO AL LAMBRO ;MI;140;5002165,00000000;538425,00000000;;;11827;;2039;11641;2046;;2044;2040
104;SEGRATE Milano Due;MI;120;5038760,16000000;520713,10000000;;;;;2063;;2065;;;2064
106;VARZI Nivione;PV;500;4961571,00000000;514194,00000000;;;11828;;2082;11642;2089;;2084;2083
107;SONDRIO Fond.Fojanini;SO;307;5112796,44000000;565505,31000000;;;11829;;2096;11643;2103;;2098;2097
108;SAMOLACO v.Vignola;SO;206;5120369,78000000;532896,90000000;;;11830;;2110;11644;2116;;2112;2111
109;SANT'ANGELO LODIGIANO ;LO;60;5011978,44000000;529787,88000000;;;;;2122;;2129;;2124;2123
110;GONZAGA ;MN;22;4980523,38000000;639394,65000000;;;11832;;2134;11646;2140;;2136;2135
111;CASSINA VALSASSINA Moggio;LC;1234;5084512,25000000;538583,36000000;;;11833;;2146;11647;2152;;2148;2147
114;LANDRIANO Cascina Marianna;PV;88;5018600,00000000;520938,00000000;;;11834;;2187;11648;2195;;2190;2188
115;ISPRA tetto;VA;193;5073482,13000000;470058,87000000;;;2205;;2200;2202;2206;;2204;2201
116;ISPRA prato;VA;193;5073482,13000000;470058,87000000;;;;;2235;;2239;;;2236
117;EDOLO Ist.Meneghini;BS;699;5114436,23000000;602920,68000000;;;;;2245;;2251;;2247;2246
119;SAN GIOVANNI BIANCO Cornalita;BG;622;5079768,68000000;549604,61000000;;;11836;;2270;11650;2278;;2275;2271
123;CAVENAGO D'ADDA ;LO;67;5013018,00000000;544138,00000000;;;11130;;2327;11129;2336;;2333;2328
125;CASTELLO D'AGOGNA ;PV;106;5010411,00000000;476502,00000000;;;12712;;2361;12713;2368;;2364;2362
126;CASATENOVO prato;LC;360;5060979,80000000;524066,23000000;;;;;2373;;2377;;;2374
127;CASATENOVO tetto;LC;360;5060979,80000000;524066,23000000;;;11838;;;11652;2385;;2384;
128;CAPRALBA ;CR;96;5032570,16000000;550482,67000000;;;2394;;2388;2392;2395;;2390;2389
129;CAPO DI PONTE v.Briscioli;BS;362;5097875,56000000;603903,62000000;;;11839;;2400;11653;2408;;2404;2401
130;BRESCIA ITAS Pastori;BS;149;5042175,65000000;598502,07000000;;;;;2414;;2417;;;2415
132;BERGAMO v.Stezzano;BG;211;5056541,73000000;551321,76000000;;;11840;;2433;11654;2441;;2435;2434
133;BEMA ;SO;958;5105929,99000000;544001,58000000;;;14339;;2447;14340;2452;;2449;2448
134;CORZANO Bargnano;BS;93;5031659,06000000;581271,43000000;;;11841;;2459;11655;2465;;2461;2460
135;VERTEMATE CON MINOPRIO villa;CO;322;5062757,18000000;506658,38000000;;;;;2471;;2477;;2476;2472
136;PERSICO DOSIMO ;CR;44;5001673,28000000;583213,89000000;;;11842;;2485;11656;2492;;2488;2486
137;RIVOLTA D'ADDA Ist. Spallanzani;CR;102;5032417,17000000;540720,91000000;;;11843;;2497;11657;2502;;;2498
139;VIRGILIO Mantova Cerese;MN;19;4997294,01000000;641005,69000000;;;11844;;2524;11658;2535;;2533;2527
140;MOTTA VISCONTI SMR;MI;100;5014273,64000000;499103,98000000;;;14159;;4001;4007;4008;;4004;4002
141;VERTEMATE CON MINOPRIO serre;CO;310;5062832,18000000;506653,38000000;;;11845;;4009;4015;4016;;4012;4010
142;CAIOLO ;SO;274;5111566,48000000;561195,34000000;;;11846;;4017;4024;4025;;;4018
143;LIVIGNO Passo Foscagno;SO;2320;5149692,35000000;592662,85000000;;;11847;;11144;4032;4033;;4029;4027
144;MADESIMO Spluga;SO;1915;5146513,69000000;526726,39000000;;;11848;;4034;4040;4041;;4037;4035
145;DARFO BOARIO TERME ;BS;222;5080789,00000000;591371,70000000;;;11849;;4042;4048;4049;;4045;4043
146;MEZZOLDO Passo S.Marco;BG;1824;5098490,86000000;548644,37000000;;;11850;;4050;4056;4057;;4053;4051
147;CINISELLO BALSAMO Parco Nord;MI;142;5043257,10000000;516051,09000000;;;14110;;4058;4064;4065;;4060;4059
148;ARCONATE SMR;MI;182;5043898,47000000;488082,39000000;;;11851;;4066;4072;4112;;4069;4067
150;PIEVE SAN GIACOMO ;CR;39;4997179,00000000;594005,00000000;;;14047;;4082;4088;4089;;4085;4083
163;PADENGHE SUL GARDA ;BS;129;5040086,51000000;617699,88000000;;;;;;;5048;;;
166;MANTOVA Lunetta2 SMR;MN;25;5002119,92000000;643358,65000000;;;14328;;5121;5127;5128;;5124;5122
205;MONTEVECCHIA cascina Butto;LC;385;5061321,74000000;529882,16000000;;;;;;;2596;;;
212;CANZO ;CO;1233;5077224,59000000;524701,49000000;;;11852;;2613;11659;2614;;;2612
214;BIGARELLO ;MN;15;5005622,81000000;648246,62000000;;;11853;;2620;11660;2626;;2623;2621
501;MILANO v.Marche;MI;129;5038105,12000000;514918,02000000;;;19021;;5911;19020;;;;6597
502;MILANO v.Juvara;MI;122;5035546,16000000;517377,03000000;;;19244;;5909;19243;5908;;6458;6179
503;MILANO P.zza Zavattari;MI;122;5035847,21000000;511082,03000000;;;19006;;5920;19005;9341;;;6185
512;CARATE BRIANZA v.De Gasperi;MB;250;5057635,97000000;518272,23000000;;;19018;;5901;19017;5900;;6453;6175
513;TREZZO SULL'ADDA v.Nenni;MI;199;5051253,92000000;539618,93000000;;;6060;;;6137;5918;;;6184
525;CORSICO v.le Italia;MI;119;5031403,32000000;507619,02000000;;;19060;;5903;19059;5902;;;6176
530;AGRATE BRIANZA v.Ferrario;MB;162;5046977,14000000;527628,19000000;;;6026;;5895;6116;5894;;;6172
535;LACCHIARELLA v.Molise;MI;97;5019010,49000000;510542,94000000;;;19063;;5910;19062;;;;6180
552;VARESE v.Vidoletti;VA;425;5075945,11000000;484773,70000000;;;;;5947;;5946;;;6197
554;SARONNO v.Santuario;VA;212;5052520,27000000;503123,26000000;;;19057;;10551;19056;10554;;10556;10552
555;BUSTO ARSIZIO v.Magenta;VA;222;5050810,40000000;488313,42000000;;;19053;;5935;19052;5934;;;6603
557;LONATE POZZOLO v.Veneto;VA;204;5048975,47000000;479783,50000000;;;19044;;5939;19043;5938;;6474;6193
558;BUSTO ARSIZIO  Accam;VA;206;5047718,00000000;487687,00000000;;;;;;;5933;;;
559;SOMMA LOMBARDO v.Facchinetti;VA;210;5055150,39000000;477613,56000000;;;19012;;5941;19011;5940;;6476;6194
562;MARIANO COMENSE v.le Lombardia;CO;256;5059472,00000000;514067,00000000;;;;;5873;;5872;;;
564;ERBA v. Battisti;CO;279;5072803,00000000;517232,00000000;;;;;5871;;5870;;;6163
567;CHIAVENNA v.Cerletti;SO;333;5129768,74000000;530454,07000000;;;;;5924;;5923;;;6187
569;SONDRIO v.Mazzini;SO;307;5113078,44000000;567173,30000000;;;;;5930;;5929;;6469;
570;TIRANO Viale Italia;SO;439;5118891,20000000;589196,94000000;;;;;5932;;5931;;;6191
571;BORMIO v.Monte Braulio;SO;1225;5147136,21000000;605598,62000000;;;;;5922;;5921;;;6186
572;MORBEGNO v.Cortivacci;SO;262;5108901,74000000;543736,56000000;;;19123;;5928;19122;5927;;;6189
573;COLICO v.La Madoneta;LC;229;5109468,96000000;529713,82000000;;;19111;;5877;19110;5876;;;6164
574;LECCO v. Amendola;LC;214;5077479,48000000;530713,39000000;;;;;;;5878;;6588;
575;NIBIONNO v.della Chiesa;LC;310;5066429,84000000;520613,33000000;;;19114;;5883;19113;5882;;;6167
578;VARENNA v.Polvani;LC;220;5095134,31000000;522088,86000000;;;;;;;5884;;;
582;BERGAMO v.S.Giorgio;BG;249;5058641,67000000;552746,76000000;;;;;5866;;5859;;6433;6160
583;BERGAMO v.Meucci;BG;249;5059922,66000000;550116,80000000;;;19099;;;19098;;;;
584;BERGAMO v.Garibaldi;BG;249;5060449,63000000;551482,79000000;;;5990;;5867;6103;5860;;;
586;COSTA VOLPINO v.Nazionale;BG;192;5075429,12000000;585212,70000000;;;19102;;5868;19101;5861;;6434;6161
594;BERGAMO v.Goisis;BG;290;5062715,56000000;553620,78000000;;;19105;;5864;19104;5857;;6431;6158
595;FILAGO v.Don Milani;BG;190;5053519,85000000;543342,85000000;;;19150;;5863;19149;5856;;6430;6157
596;OSIO SOTTO v.per Levate;BG;182;5052072,00000000;547691,00000000;;;19108;;5865;19107;5858;;6432;6159
598;SAN ROCCO AL PORTO v.Matteotti;LO;50;4992297,54000000;555154,34000000;;;;;5890;;;;;6170
614;RODANO v.Turati;MI;112;5035511,22000000;527631,13000000;;;;;5917;;5916;;;6183
617;TAVAZZANO CON VILLAVESCO Enel suolo;LO;80;5020175,29000000;533401,05000000;;;;;5888;;5887;;6443;6169
620;MILANO v.Brera;MI;122;5035365,17000000;514782,01000000;;;19009;;5897;19008;19373;;19374;6174
625;CASALMAGGIORE v.Volta;CR;23;4981793,42000000;612537,50000000;;;9320;;5966;9321;9322;;6437;6407
