giorno_partenza,count
2019-01-01,831
2019-01-02,3512
2019-01-03,4126
2019-01-04,4201
2019-01-05,2875
2019-01-06,2878
2019-01-07,8662
2019-01-08,8948
2019-01-09,9205
2019-01-10,8703
2019-01-11,9195
2019-01-12,3964
2019-01-13,2930
2019-01-14,6591
2019-01-15,9884
2019-01-16,9399
2019-01-17,6563
2019-01-18,9029
2019-01-19,4080
2019-01-20,2906
2019-01-21,9295
2019-01-22,9442
2019-01-23,8153
2019-01-24,8993
2019-01-25,8813
2019-01-26,3999
2019-01-27,1546
2019-01-28,8966
2019-01-29,9216
2019-01-30,5039
2019-01-31,7790
2019-02-01,2009
2019-02-02,2181
2019-02-03,2224
2019-02-04,9126
2019-02-05,9418
2019-02-06,9771
2019-02-07,9586
2019-02-08,9113
2019-02-09,4309
2019-02-10,1191
2019-02-11,9077
2019-02-12,10461
2019-02-13,10289
2019-02-14,9762
2019-02-15,9741
2019-02-16,4628
2019-02-17,3656
2019-02-18,10357
2019-02-19,10845
2019-02-20,10442
2019-02-21,11055
2019-02-22,10777
2019-02-23,3932
2019-02-24,3429
2019-02-25,10463
2019-02-26,11538
2019-02-27,12053
2019-02-28,11851
2019-03-01,11535
2019-03-02,5625
2019-03-03,4785
2019-03-04,8049
2019-03-05,11259
2019-03-06,10769
2019-03-07,9294
2019-03-08,11411
2019-03-09,5171
2019-03-10,4223
2019-03-11,10132
2019-03-12,11685
2019-03-13,11538
2019-03-14,12020
2019-03-15,12523
2019-03-16,6485
2019-03-17,4269
2019-03-18,10927
2019-03-19,11535
2019-03-20,11579
2019-03-21,11875
2019-03-22,11910
2019-03-23,6697
2019-03-24,6068
2019-03-25,11542
2019-03-26,11910
2019-03-27,11986
2019-03-28,12144
2019-03-29,12124
2019-03-30,6490
2019-03-31,5345
2019-04-01,12386
2019-04-02,12675
2019-04-03,9447
2019-04-04,3648
2019-04-05,11574
2019-04-06,6070
2019-04-07,3016
2019-04-08,12569
2019-04-09,14226
2019-04-10,14107
2019-04-11,4546
2019-04-12,10695
2019-04-13,7955
2019-04-14,1206
2019-04-15,11686
