giorno_partenza,stazione_partenza,count
2019-12-31,Zavattari - Tempesta,6
2019-12-31,Zara M3,6
2019-12-31,XXV Aprile,19
2019-12-31,XXIV Maggio,11
2019-12-31,XXII Marzo,5
2019-12-31,Vittor Pisani,19
2019-12-31,Vigliani - Scarampo,4
2019-12-31,Vesuvio - Lipari,7
2019-12-31,Verrocchio - Juvara,3
2019-12-31,Vercelli - Piemonte,10
2019-12-31,Vercelli - Cherubini,9
2019-12-31,Velasca,10
2019-12-31,Valtellina - Farini,3
2019-12-31,Valtellina - Aprica,4
2019-12-31,VIII novembre - Ramazzini,13
2019-12-31,VI Febbraio,12
2019-12-31,V Alpini,7
2019-12-31,Università Cattolica,5
2019-12-31,Tunisia Lecco Bellintani,8
2019-12-31,Tunisia - Cozzi,7
2019-12-31,Tripoli,3
2019-12-31,Tricolore,5
2019-12-31,Treves,9
2019-12-31,Toscana- Leoni,1
2019-12-31,Torino - Carrobbio,14
2019-12-31,Tommaseo,1
2019-12-31,Tiraboschi - Muratori,9
2019-12-31,Tertulliano - Caroncini,3
2019-12-31,Teodosio - Porpora,8
2019-12-31,Teodosio - Pacini,7
2019-12-31,Teodorico - Gattamelata,3
2019-12-31,Taramelli RL,3
2019-12-31,Suzzani - Arezzo,2
2019-12-31,Susa - Sidoli,11
2019-12-31,Stuparich - Albani,6
2019-12-31,Stelvio - Farini,8
2019-12-31,Stefini - Ressi,9
2019-12-31,Staz. Greco - Pirelli - Cozzi,8
2019-12-31,Sraffa,2
2019-12-31,Spadolini - Centro Leoni,6
2019-12-31,Settembrini - Vitruvio,2
2019-12-31,Senato,1
2019-12-31,Sempione - RAI,3
2019-12-31,Sempione - Melzi d Eril,15
2019-12-31,Sempione - Castelvetro,13
2019-12-31,Segantini - Darwin,7
2019-12-31,Savona - Tolstoj,6
2019-12-31,Sauli - Battaglia,10
2019-12-31,Sarpi Niccolini,17
2019-12-31,Sarpi Albertini,27
2019-12-31,Sardegna - Sicilia,7
