numero_stazione,nome,stalls_geometry,anno,nil,id_nil,municipio
001,Duomo,POINT (9.189141462641917 45.46474597340785),2008,DUOMO,1,1
003,Cadorna 1,POINT (9.175661673055156 45.46800286489534),2008,MAGENTA - S. VITTORE,7,1
004,Lanza,POINT (9.181970059045605 45.47227398001715),2008,BRERA,2,1
005,Universita' Cattolica,POINT (9.176411553596575 45.46312096737842),2008,DUOMO,1,1
006,San Giorgio,POINT (9.18366605858828 45.46088788086489),2008,DUOMO,1,1
007,Santa Maria Beltrade,POINT (9.186745326611513 45.46284824996911),2008,DUOMO,1,1
008,Velasca,POINT (9.19029606587832 45.46010042667759),2008,DUOMO,1,1
009,S. Stefano,POINT (9.195239434282264 45.46237015894886),2008,DUOMO,1,1
010,Missori,POINT (9.18824619107111 45.46131859260033),2008,DUOMO,1,1
011,Castello - Acquario civico,POINT (9.179319559595502 45.47251701348578),2008,PARCO SEMPIONE,8,1
012,"San Lorenzo - ""Colonne""",POINT (9.181626953089728 45.458603445990924),2008,DUOMO,1,1
013,Senato,POINT (9.197534248930417 45.47050593175577),2008,GUASTALLA,4,1
014,San Barnaba H Mangiagalli,POINT (9.198447697731357 45.459513745263436),2008,GUASTALLA,4,1
015,Cantore,POINT (9.172674371555331 45.45587366154497),2008,PORTA TICINESE - CONCHETTA,44,6
016,Moscova,POINT (9.184533827608986 45.477544986253605),2009,BRERA,2,1
017,Legnano Arena civica,POINT (9.180886079168731 45.477148321057975),2008,PARCO SEMPIONE,8,1
018,Tommaseo,POINT (9.166652007489404 45.46955639845393),2008,MAGENTA - S. VITTORE,7,1
020,Erculea,POINT (9.189644818998417 45.45909579652023),2008,DUOMO,1,1
021,Universita' Bocconi,POINT (9.190409240070856 45.448632567295896),2008,PORTA VIGENTINA - PORTA LODOVICA,5,5
022,Medaglie d'Oro 1,POINT (9.203350422343458 45.45161201948631),2008,PTA ROMANA,27,4
023,Regina Margherita,POINT (9.205300766700963 45.45825047191478),2008,GUASTALLA,4,1
025,Centrale 1,POINT (9.202492563661446 45.48541018794012),2008,STAZIONE CENTRALE - PONTE SEVESO,10,2
026,Centrale 2,POINT (9.204244247011944 45.48453931744756),2008,STAZIONE CENTRALE - PONTE SEVESO,10,2
027,Porta Venezia,POINT (9.204531507779365 45.474635549239636),2008,GIARDINI P.TA VENEZIA,3,1
028,San Giovanni sul Muro,POINT (9.181432580678795 45.467565705287264),2008,DUOMO,1,1
029,San Pietro in Gessate,POINT (9.20139318404943 45.46239174038339),2008,GUASTALLA,4,1
030,Crocetta,POINT (9.195717519846108 45.45622444568411),2008,GUASTALLA,4,1
032,Manin - Bastioni,POINT (9.198315723354154 45.47685983498168),2008,GIARDINI P.TA VENEZIA,3,1
033,Triennale,POINT (9.173652222122323 45.47181390614776),2008,PARCO SEMPIONE,8,1
034,Cairoli,POINT (9.182153751483126 45.46765301744008),2008,DUOMO,1,1
035,Torino - Carrobbio,POINT (9.181883322281033 45.46049099047892),2008,DUOMO,1,1
036,San Vito,POINT (9.18372934798512 45.45924090413592),2008,DUOMO,1,1
037,Italia - San Martino,POINT (9.186972410448341 45.45316119645458),2008,PORTA VIGENTINA - PORTA LODOVICA,5,1
038,XXIV Maggio,POINT (9.179554424983023 45.45222059568153),2009,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5
039,XXV Aprile,POINT (9.186674174078771 45.4801729977672),2008,BRERA,2,1
040,Morozzo della Rocca,POINT (9.16893363778206 45.46397162386378),2008,MAGENTA - S. VITTORE,7,1
041,Conciliazione,POINT (9.166966088597944 45.46771276118004),2008,MAGENTA - S. VITTORE,7,1
042,San Pietro all'Orto,POINT (9.195572885849401 45.46620493857327),2008,DUOMO,1,1
043,Festa del Perdono,POINT (9.194770824468488 45.46140588036046),2008,DUOMO,1,1
044,Richini,POINT (9.19301237029974 45.45943633843248),2008,DUOMO,1,1
045,Cantu',POINT (9.186660648421514 45.4641772256337),2008,DUOMO,1,1
046,Porta Nuova,POINT (9.192836682240376 45.48004008793847),2008,PORTA GARIBALDI - PORTA NUOVA,9,9
047,Gorizia 1,POINT (9.177521970856178 45.45232497230397),2008,PORTA TICINESE - CONCHETTA,44,6
049,Meda,POINT (9.193060819392255 45.46639649446848),2008,DUOMO,1,1
051,Santa Maria delle Grazie,POINT (9.169620830008263 45.46671676427905),2008,MAGENTA - S. VITTORE,7,1
052,Vittor Pisani,POINT (9.199212314860377 45.480507795561024),2008,STAZIONE CENTRALE - PONTE SEVESO,10,2
053,Palestro 1,POINT (9.201831925492375 45.4722871789512),2008,GIARDINI P.TA VENEZIA,3,1
054,Sant'Eustorgio - P.ta Ticinese,POINT (9.18083834052121 45.45519055955162),2008,PORTA TICINESE - CONCA DEL NAVIGLIO,6,1
055,Cinque Giornate,POINT (9.207019319131126 45.46266904826596),2008,GUASTALLA,4,1
056,Bastioni di Porta Venezia,POINT (9.20050143838772 45.475973088438),2008,GIARDINI P.TA VENEZIA,3,1
057,Brera,POINT (9.187641249068582 45.47159128297687),2008,BRERA,2,1
059,Palestro 2,POINT (9.201575814117252 45.47241708204282),2008,GIARDINI P.TA VENEZIA,3,1
060,Edison,POINT (9.18351452172416 45.46433384169186),2008,DUOMO,1,1
061,Augusto,POINT (9.19839115246274 45.46325584232261),2008,DUOMO,1,1
062,Treves,POINT (9.18678789945444 45.47504500866883),2008,BRERA,2,1
063,Sant'Ambrogio,POINT (9.17411567564591 45.461959204192645),2008,DUOMO,1,1
064,Diaz,POINT (9.189861993578571 45.46309679870541),2008,DUOMO,1,1
065,Bertarelli,POINT (9.187493249627513 45.458586868726165),2008,DUOMO,1,1
066,Cavour,POINT (9.196340516992198 45.47301620256426),2008,GIARDINI P.TA VENEZIA,3,1
067,Repubblica,POINT (9.19654525393699 45.47908110528522),2008,STAZIONE CENTRALE - PONTE SEVESO,10,2
068,Rotonda della Besana,POINT (9.205446007746632 45.46060474471093),2008,GUASTALLA,4,1
069,S. Nazaro in Brolo,POINT (9.192644706048462 45.45830220922638),2009,DUOMO,1,1
070,Fatebenefratelli,POINT (9.190114222786791 45.473150088570854),2008,BRERA,2,1
071,Medaglie d'Oro 2,POINT (9.203000636454071 45.451848460868376),2009,PTA ROMANA,27,4
072,Cardinal Ferrari,POINT (9.19276821062689 45.456708930328986),2008,PORTA VIGENTINA - PORTA LODOVICA,5,1
073,Majno - Baretti,POINT (9.20491361564008 45.47149759930991),2009,GUASTALLA,4,1
074,Dante - San Tomaso,POINT (9.184080776626033 45.4670760525911),2009,BRERA,2,1
075,Cusani,POINT (9.185006033581939 45.46874961887305),2009,BRERA,2,1
076,Mentana,POINT (9.181956861288182 45.461778997159065),2009,DUOMO,1,1
077,Sant'Angelo - P.ta Nuova,POINT (9.19180363864132 45.47672771229414),2009,BRERA,2,1
078,Aquileia,POINT (9.163371258439662 45.4608561959434),2009,PORTA MAGENTA,51,7
080,Manzoni,POINT (9.192389581720269 45.47124117941638),2009,BRERA,2,1
081,Universita' Bocconi 2 - Bach,POINT (9.190909071789106 45.44827924374422),2009,PORTA VIGENTINA - PORTA LODOVICA,5,5
082,Dell'Umanitaria,POINT (9.200629496375292 45.45815920541402),2009,GUASTALLA,4,1
084,Cadorna 2,POINT (9.176161792703473 45.46904358964863),2009,MAGENTA - S. VITTORE,7,1
085,D'Ancona,POINT (9.175806483389378 45.46570272201069),2009,DUOMO,1,1
086,Mascagni,POINT (9.203115444383737 45.46539707898497),2009,GUASTALLA,4,1
087,Porta Genova,POINT (9.169638519756658 45.45290738222781),2012,PORTA TICINESE - CONCHETTA,44,6
088,Beatrice d'Este - Cassolo,POINT (9.197566326376887 45.452228145344975),2009,PORTA VIGENTINA - PORTA LODOVICA,5,1
089,Patellani,POINT (9.194152437147938 45.45166630651848),2009,PORTA VIGENTINA - PORTA LODOVICA,5,5
091,Gioia - Pirelli,POINT (9.195902455633338 45.484042757604946),2009,PORTA GARIBALDI - PORTA NUOVA,9,9
093,Borgogna,POINT (9.19978661686939 45.46584404985675),2009,DUOMO,1,1
094,Cadorna 3,POINT (9.176262780830227 45.46807109936462),2012,MAGENTA - S. VITTORE,7,1
095,De Amicis - Conca Del Naviglio,POINT (9.178649094358283 45.45828448644008),2009,PORTA TICINESE - CONCA DEL NAVIGLIO,6,1
096,"Donizzetti ""Provincia""",POINT (9.204456466881402 45.46733553768258),2009,GUASTALLA,4,1
097,Molino delle Armi,POINT (9.182327954323013 45.45699415579502),2009,PORTA TICINESE - CONCA DEL NAVIGLIO,6,1
098,San Marco,POINT (9.189236648396802 45.47876873001231),2009,BRERA,2,1
099,Arco della Pace 1 - Bertani,POINT (9.173448947562825 45.47620016202649),2009,PARCO SEMPIONE,8,1
100,Palazzo Marino - Caserotte,POINT (9.191349344684747 45.46676603340708),2012,DUOMO,1,1
101,Gadio - Paleocapa,POINT (9.175636615335556 45.47008609484404),2009,PARCO SEMPIONE,8,1
102,Arcivescovado,POINT (9.193153087856397 45.46379418124931),2009,DUOMO,1,1
103,Arco della Pace 2 - Pagano,POINT (9.17165611710772 45.475036032075906),2009,PARCO SEMPIONE,8,1
104,"M. Gioia - ""Regione""",POINT (9.196800099015855 45.486156431752164),2011,PORTA GARIBALDI - PORTA NUOVA,9,9
105,Piazzale Lodi,POINT (9.209905983366593 45.447748562979434),2011,PTA ROMANA,27,4
106,Restelli - Galvani RL 1,POINT (9.194633674315195 45.48730634212419),2012,ISOLA,11,9
107,S. Gioachimo,POINT (9.197010449403571 45.48087616959989),2012,PORTA GARIBALDI - PORTA NUOVA,9,9
108,Tunisia - Cozzi,POINT (9.201576058276487 45.47896542443961),2011,STAZIONE CENTRALE - PONTE SEVESO,10,2
109,Tunisia Lecco Bellintani,POINT (9.20475566650321 45.47746092852826),2013,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
110,S. F. Romana,POINT (9.208494775863223 45.476338203101804),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
111,B. Marcello - Boscovich,POINT (9.20755217712876 45.48022160833556),2013,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
112,Napo Torriani De Lellis,POINT (9.203226540091675 45.48253544959739),2011,STAZIONE CENTRALE - PONTE SEVESO,10,2
113,Buenos Aires - Lima,POINT (9.211366416146555 45.480369750646595),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
114,Buenos Aires - Argentina,POINT (9.214765034326312 45.483813775463574),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
115,Caiazzo,POINT (9.209141888000179 45.48525447460935),2013,STAZIONE CENTRALE - PONTE SEVESO,10,2
116,Morgagni - Redi,POINT (9.211879645937863 45.477850743717696),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
117,Bacone - Monteverdi,POINT (9.214935051139857 45.481473385314686),2013,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
118,VIII novembre - Ramazzini,POINT (9.211157807557397 45.47509789702365),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
119,Settembrini - Vitruvio,POINT (9.206911904099574 45.482554103396915),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
120,F. Filzi,POINT (9.20042321771544 45.48445379226416),2011,STAZIONE CENTRALE - PONTE SEVESO,10,2
121,Melchiorre Gioia - Galvani,POINT (9.197959364780022 45.486693589120165),2013,PORTA GARIBALDI - PORTA NUOVA,9,9
123,Castel Morrone - M.A. di Savoia,POINT (9.214576060565843 45.47257949995856),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
124,Porta Venezia 2,POINT (9.205117344455823 45.47507410007925),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
126,Modena - Castel Morrone,POINT (9.214245280119684 45.47085670097394),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
127,Risorgimento,POINT (9.210778669646656 45.468159423178605),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
128,Indipendenza - Castel Morrone,POINT (9.214342942182018 45.46827979293747),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
129,Fiamma,POINT (9.21137942996907 45.464603663571694),2012,XXII MARZO,26,4
130,XXII Marzo,POINT (9.212473928037905 45.46215871433246),2011,XXII MARZO,26,4
131,Emilia - Piceno,POINT (9.21606853083627 45.46250872867429),2012,XXII MARZO,26,4
132,Bronzetti - Archimede,POINT (9.214582613231006 45.46532506559038),2012,XXII MARZO,26,4
133,Dateo,POINT (9.21665548983285 45.46844806277919),2012,BUENOS AIRES - PORTA VENEZIA - PORTA MONFORTE,21,3
135,Muratori - Umbria,POINT (9.212332427003314 45.450855165183),2013,PTA ROMANA,27,4
136,Monte Nero - Spartaco,POINT (9.207674338139586 45.46014193431468),2011,XXII MARZO,26,4
137,Sempione - RAI,POINT (9.166725188458814 45.47947710628614),2012,PAGANO,68,8
138,Cadore - Pinaroli,POINT (9.213132486924737 45.45830468883101),2013,XXII MARZO,26,4
139,Lazio - Vasari - Morosini,POINT (9.20804685949036 45.45523954502686),2012,PTA ROMANA,27,4
140,Cirene - Friuli,POINT (9.212481272086078 45.45344138019174),2013,XXII MARZO,26,4
141,Caldara - Curtatone,POINT (9.202932286630446 45.4551483243492),2011,GUASTALLA,4,1
142,Tiraboschi - Muratori,POINT (9.208689989178742 45.45222439705576),2014,PTA ROMANA,27,4
143,Lodi - Papi,POINT (9.206755293747399 45.44996196254851),2011,PTA ROMANA,27,4
144,Brescia,POINT (9.145425107028267 45.471601123029075),2014,DE ANGELI - MONTE ROSA,58,7
146,Crema - Giulio Romano,POINT (9.202734775540431 45.44806303001857),2013,PTA ROMANA,27,5
147,Ripamonti - Bellezza,POINT (9.197224446017652 45.44880498620754),2012,PORTA VIGENTINA - PORTA LODOVICA,5,5
148,Bocconi 3 - I. Aragona,POINT (9.190541420353984 45.45117523424748),2011,PORTA VIGENTINA - PORTA LODOVICA,5,5
150,Sraffa,POINT (9.186069844599396 45.44833812150392),2013,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5
151,Balilla - Tibaldi,POINT (9.182642660800637 45.44463070396924),2011,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5
152,San Gottardo - Gentilino,POINT (9.180093940737024 45.44891671338399),2013,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5
153,Segantini - Darwin,POINT (9.172744667775984 45.445754377879595),2013,PORTA TICINESE - CONCHETTA,44,6
154,Ascanio Sforza - Pavia,POINT (9.177492616815389 45.44736501271964),2012,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5
155,Naviglio Pavese - Torricelli,POINT (9.176369918148753 45.44420802828608),2013,PORTA TICINESE - CONCA DEL NAVIGLIO,6,5
156,Arcole - Argelati,POINT (9.172707012932683 45.44963608797607),2013,PORTA TICINESE - CONCHETTA,44,6
157,Roncaglia - Washington,POINT (9.154348316739588 45.45880186998611),2014,PORTA MAGENTA,51,6
158,Naviglio Grande - Valenza,POINT (9.16745057414255 45.44980718424918),2013,PORTA TICINESE - CONCHETTA,44,6
