FID,TIPO,DTIPO,NOME,EXTRA_RL,DEXTRA_RL,geometry
483,1,Stazione,MOZZATE,1,Interno  confine regionale,POINT (496545.2249023379 5058176.306210876)
484,1,Stazione,CASORATE SEMPIONE,1,Interno  confine regionale,POINT (480027.6768215082 5057762.84437126)
485,1,Stazione,VARALLO POMBIA,2,Esterno confine regionale,POINT (470233.75121983705 5057471.879269508)
486,1,Stazione,MEDA,1,Interno  confine regionale,POINT (512414.25270352 5056638.106068929)
487,1,Stazione,ISEO,1,Interno  confine regionale,POINT (581673.8903931082 5056418.033364244)
488,1,Stazione,CISLAGO,1,Interno  confine regionale,POINT (498426.200118666 5056298.800014436)
489,1,Stazione,GALLARATE,1,Interno  confine regionale,POINT (484420.62302748434 5056165.858267113)
490,1,Stazione,POMBIA,2,Esterno confine regionale,POINT (471749.22070996615 5054989.417158575)
491,1,Stazione,SEVESO,1,Interno  confine regionale,POINT (510902.3678986286 5054931.645071916)
492,1,Stazione,LESMO,1,Interno  confine regionale,POINT (525141.5642402389 5054693.911488733)
493,1,Stazione,SEREGNO,1,Interno  confine regionale,POINT (516186.0835012871 5054476.543535987)
494,1,Stazione,CESANO MADERNO,1,Interno  confine regionale,POINT (511104.2172539968 5052784.649194718)
495,1,Stazione,SARONNO,1,Interno  confine regionale,POINT (502515.13840656774 5052474.273172837)
496,1,Stazione,ARCORE,1,Interno  confine regionale,POINT (525187.3302900731 5052298.497422429)
497,1,Stazione,RESCALDINA,1,Interno  confine regionale,POINT (495390.93864361936 5051976.830345433)
498,1,Stazione,DESIO,1,Interno  confine regionale,POINT (517077.56166078785 5051908.0598601755)
499,1,Stazione,CASTELLANZA,1,Interno  confine regionale,POINT (491644.2437639036 5051095.364204003)
500,1,Stazione,BUSTO ARSIZIO,1,Interno  confine regionale,POINT (488551.5409111558 5050345.896886023)
501,1,Stazione,PALAZZOLO SULL'OGLIO,1,Interno  confine regionale,POINT (569842.5786920157 5050250.2800615905)
502,1,Stazione,VILLASANTA,1,Interno  confine regionale,POINT (523942.21391517937 5049832.585691627)
503,1,Stazione,OLEGGIO,2,Esterno confine regionale,POINT (471281.4340621801 5049489.519378204)
504,1,Stazione,BORNATO,1,Interno  confine regionale,POINT (580744.4022192295 5049001.727518193)
505,1,Stazione,LEGNANO,1,Interno  confine regionale,POINT (493109.8268073932 5048633.863160229)
506,1,Stazione,CESATE,1,Interno  confine regionale,POINT (505517.19149146613 5048267.750492733)
507,1,Stazione,COLOGNE,1,Interno  confine regionale,POINT (572987.090351193 5047511.338783631)
508,1,Stazione,GARBAGNATE MILANESE,1,Interno  confine regionale,POINT (506395.29810320545 5047202.241142055)
509,1,Stazione,MONZA,1,Interno  confine regionale,POINT (521384.06316314277 5046939.136126681)
510,1,Stazione,MAGNAGO,1,Interno  confine regionale,POINT (483220.9565126291 5046791.480399736)
511,1,Stazione,CASTEGNATO,1,Interno  confine regionale,POINT (587387.3253174357 5046301.713566784)
512,1,Stazione,CANEGRATE,1,Interno  confine regionale,POINT (494302.9103028611 5046077.363425357)
513,1,Stazione,BELLINZAGO NOVARESE,2,Esterno confine regionale,POINT (470911.4120065697 5045905.085723394)
514,1,Stazione,COCCAGLIO,1,Interno  confine regionale,POINT (576223.1654253058 5045760.853819581)
515,1,Stazione,TRAVERSAGNA,1,Interno  confine regionale,POINT (507637.77503898914 5045662.2237323895)
516,1,Stazione,CASTANO PRIMO,1,Interno  confine regionale,POINT (482248.5763076608 5044785.517949231)
517,1,Stazione,MANDOLOSSA,1,Interno  confine regionale,POINT (589851.3735351039 5044360.222819236)
518,1,Stazione,PARABIAGO,1,Interno  confine regionale,POINT (495838.2400440017 5044118.850847193)
519,1,Stazione,BOLLATE,1,Interno  confine regionale,POINT (509451.7401424151 5043408.697880641)
520,1,Stazione,CHIARI,1,Interno  confine regionale,POINT (572151.8475888841 5043339.438882503)
521,1,Stazione,BRESCIA,1,Interno  confine regionale,POINT (594827.6156709992 5042766.18889191)
522,1,Stazione,SESTO S. GIOVANNI,1,Interno  confine regionale,POINT (517992.47154920094 5042143.121916313)
523,1,Stazione,NOVATE MILANESE,1,Interno  confine regionale,POINT (510483.59372149716 5042047.683014855)
524,1,Stazione,BRUZZANO,1,Interno  confine regionale,POINT (513506.9495224252 5041746.13575787)
525,1,Stazione,ROMANO DI LOMBARDIA,1,Interno  confine regionale,POINT (558731.414769547 5041409.512584391)
526,1,Stazione,RHO,1,Interno  confine regionale,POINT (503541.25576175214 5041075.279966329)
527,1,Stazione,CASSANO D'ADDA,1,Interno  confine regionale,POINT (539903.4247710486 5040097.100991041)
1,1,Stazione,TRECELLA,1,Interno  confine regionale,POINT (537397.3728677414 5040021.612674377)
2,1,Stazione,REZZATO,1,Interno  confine regionale,POINT (602559.8808476519 5039586.6275862465)
3,1,Stazione,MELZO,1,Interno  confine regionale,POINT (532736.7132380609 5038751.159509132)
4,1,Stazione,VIGNATE,1,Interno  confine regionale,POINT (528656.7532487981 5037720.700481137)
5,1,Stazione,VITTUONE,1,Interno  confine regionale,POINT (495855.55816064146 5037447.887218303)
6,1,Stazione,GALLIATE,2,Esterno confine regionale,POINT (475867.0626774406 5036499.193175736)
7,1,Stazione,VIGNALE,2,Esterno confine regionale,POINT (469909.8493427062 5036039.755937447)
8,1,Stazione,LONATO,1,Interno  confine regionale,POINT (616258.4561057613 5034843.614697676)
9,1,Stazione,MAGENTA,1,Interno  confine regionale,POINT (490540.1473638262 5034792.040910773)
10,1,Stazione,PESCHIERA DEL GARDA,2,Esterno confine regionale,POINT (633230.014148401 5033254.497356461)
11,1,Stazione,NOVARA,2,Esterno confine regionale,POINT (470900.8146014691 5032785.289050591)
12,1,Stazione,S. MARTINO DELLA BATTAGLIA,1,Interno  confine regionale,POINT (625280.2954522241 5032626.129622391)
13,1,Stazione,CAPRALBA,1,Interno  confine regionale,POINT (550467.54384957 5032267.662352719)
14,1,Stazione,CORSICO,1,Interno  confine regionale,POINT (508025.39074599475 5031204.314029386)
15,1,Stazione,BAGNOLO MELLA,1,Interno  confine regionale,POINT (592238.9070573745 5031038.405769202)
16,1,Stazione,TRECATE,2,Esterno confine regionale,POINT (479761.23584611673 5030585.737819598)
17,1,Stazione,TREZZANO SUL NAVIGLIO,1,Interno  confine regionale,POINT (505286.89715527 5029741.36489102)
18,1,Stazione,GAGGIANO,1,Interno  confine regionale,POINT (502316.42034246447 5028364.920251379)
19,1,Stazione,DOSSOBUONO,2,Esterno confine regionale,POINT (649817.969992132 5028286.85566314)
20,1,Stazione,ABBIATEGRASSO,1,Interno  confine regionale,POINT (493851.0142694286 5027107.055831591)
21,1,Stazione,CA` DI DAVID,2,Esterno confine regionale,POINT (654094.218616518 5026838.843776965)
22,1,Stazione,S. GIULIANO,1,Interno  confine regionale,POINT (522460.9084595599 5026219.305515087)
23,1,Stazione,VIADANA BRESCIANA,1,Interno  confine regionale,POINT (604291.8753059405 5025158.773265969)
24,1,Stazione,CREMA,1,Interno  confine regionale,POINT (554218.8885396399 5023896.749717899)
25,1,Stazione,VILLAFRANCA DI VERONA,2,Esterno confine regionale,POINT (644826.5000191814 5023489.521448518)
26,1,Stazione,MANERBIO,1,Interno  confine regionale,POINT (588510.286697485 5023187.051271007)
27,1,Stazione,LOCATE TRIULZI,1,Interno  confine regionale,POINT (517330.5764507254 5022889.362311761)
28,1,Stazione,MELEGNANO,1,Interno  confine regionale,POINT (525081.9089773215 5022628.343730705)
29,1,Stazione,BUTTAPIETRA,2,Esterno confine regionale,POINT (655763.6161265458 5022590.926754451)
30,1,Stazione,VESPOLATE,2,Esterno confine regionale,POINT (474378.16452159325 5022009.833103397)
31,1,Stazione,VEROLANUOVA,1,Interno  confine regionale,POINT (585043.5270997434 5019647.634818005)
32,1,Stazione,TAVAZZANO,1,Interno  confine regionale,POINT (531475.0182726089 5019157.822477378)
33,1,Stazione,VISANO,1,Interno  confine regionale,POINT (606860.1711556525 5018790.326721414)
34,1,Stazione,MOZZECANE,2,Esterno confine regionale,POINT (642899.8210310244 5018515.142036927)
